שנה,קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,קוד מיון רמה 1,שם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,הוצאה/הכנסה,פשח,הוצאה נטו,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100101,שכר שוטף חיילי קבע,1,שכר,30,שכר בארץ,הוצאה,0,11171083,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100102,הטבות שכר נוספות לחיילים,1,שכר,30,שכר בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100103,שכר שוטף עובדי משרד הביטחון,1,שכר,30,שכר בארץ,הוצאה,0,1265398,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100104,הטבות שכר נוספות עובדי משרד הביטחון,1,שכר,30,שכר בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100105,"שכר שוטף אזרחים עובדי צה""ל",1,שכר,30,שכר בארץ,הוצאה,0,2262318,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100106,"הטבות שכר נוספות אזרחים עובדי צה""ל",1,שכר,30,שכר בארץ,הוצאה,0,794692,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100107,הוצאות בגין חיילי חובה,1,שכר,30,שכר בארץ,הוצאה,0,2448871,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100108,תגמולי מילואים,1,שכר,30,שכר בארץ,הוצאה,0,805113,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100109,תגמול מילואים מיוחד ונוסף,1,שכר,30,שכר בארץ,הוצאה,0,203334,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100110,הטבות והוצאות נוספות למילואים,1,שכר,30,שכר בארץ,הוצאה,0,37859,,,,,,,,,,,,,,,,,
